"Tabelle;Spalte;Datentyp;Beschreibung_Inhalt;Join_Foreign_Key"
"stammdatenapo;StH;str;Straίe und Hausnummer;"
"stammdatenapo;telefon;str;Telefonnummer;"
"stammdatenapo;fax;str;Faxnummer;"
"stammdatenapo;internetadresse;str;URL Website;"
"stammdatenapo;email;str;E-Mail Adresse;"
"stammdatenapo;iban;str;IBAN;"
"stammdatenapo;bic;str;BIC;"
"stammdatenapo;bundesland;str;Bundesland;"
"stammdatenapo;nielsen;str;Nielsen-Gebiet;"
"stammdatenapo;datum;datetime;Datum Datensatzanlage;"
"stammdatenapo;schliessung;datetime;Datum Schliessung;"
"stammdatenapo;kunden-status;str;Status der Apotheke;"
"stammdatenapo;kooperation;str;Apothekenzusammenschluί;"
"stammdatenapo;gruppe;str;Gruppe evtl. innerhalb des Zusammenschlusses;"
"stammdatenapo;zentrale;str;Hauptapotheke;"
"stammdatenapo;filiale;str;Wenn nicht identisch mit Kundennumm;"
"stammdatenapo;apothekentyp;str;Typ der Apotheke;"
"stammdatenapo;groessenklasse;str;Grφίenklasse;"
"stammdatenapo;umsatzklasse;str;Umsatzklasse;"
"stammdatenapo;akquiseklasse;str;Akquiseklasse;"
"stammdatenapo;freqgesch;float;Kundenfrequenz geschδtzt;"
"stammdatenapo;berechnfreq;float;Kundenfrequenz berechnet;"
"stammdatenapo;durchschnfreq;float;Durchschnittsfrequenz;"
"stammdatenapo;umsatzpotenzialmio;float;Umsatzpotenzial in Millionen;"
"stammdatenapo;wws;str;Warenwirtschaftssystem;"
"stammdatenapo;vkfl;float;Verkaufsflδche;"
"stammdatenapo;lfmfwgesch;int;Laufmeter Freiwahl;"
"stammdatenapo;lfmswgesch;int;Laufmeter Sichtwahl;"
"stammdatenapo;lage;str;Lage im Ort;"
"stammdatenapo;Apogrupp;str;Apothekengruppe;"
"stammdatenapo;EmailKNZ;str;Email Kennzeichen;"
"stammdatenapo;Emailstatus;str;Status Email;"
"stammdatenapo;Versandstatus;str;Status Versand;"
"stammdatenapo;bearbStatus;str;Bearbeitungsstatus;"
"stammdatenindustrie;kundennumm;str;Kundennummer;crm_personen.kundennumm"
"stammdatenindustrie;bganr;str;Betriebsstδttennummer;"
"stammdatenindustrie;akquiseklasse;int;Akquiseklasse;"
"stammdatenindustrie;funktion;str;Marktfunktion;"
"stammdatenindustrie;efunktion;str;Detailbeschreibung Marktfunktion;"
"stammdatenindustrie;Marktzielgruppe;str;[SUCH FELD] Angebotsrichtung / Marktorientierung (z.B. Apotheken);"
"stammdatenindustrie;emarktzielgruppe;str;[SUCH FELD] Detail Marktorientierung (z.B. B2B, Apotheken, Endverbraucher);"
"stammdatenindustrie;produktschwerpunkt;str;Produktschwerpunkt;"
"stammdatenindustrie;Kategorie;str;Angebotskategorie;"
"stammdatenindustrie;ekategorie;str;Detailbeschreibung Angebotskategorie;"
"stammdatenindustrie;anbieternummer;int;Anbieternummer;abdaartikel.anbieter_nr"
"stammdatenindustrie;nama;str;[SUCH FELD] Erstteil Name / Anbietername;"
"stammdatenindustrie;nameb;str;Zweitteil Name;"
"stammdatenindustrie;kurzname;str;Kurzname;"
"stammdatenindustrie;LKZ;str;Lδnderkennzeichen;"
"stammdatenindustrie;plz;str;Postleitzahl;"
"stammdatenindustrie;ort;str;Stadt / Ort;"
"stammdatenindustrie;strasse;str;Straίenname;"
"stammdatenindustrie;hausnr;str;Hausnummer;"
"stammdatenindustrie;telefon;str;Telefonnummer;"
"stammdatenindustrie;fax;str;Faxnummer;"
"stammdatenindustrie;internetadresse;str;Website URL;"
"stammdatenindustrie;email;str;E-Mail Adresse;"
"stammdatenindustrie;dategurl;str;Dateg URL;"
"stammdatenindustrie;logourl;str;Logo URL;"
"stammdatenindustrie;LinkedinURL;str;FirmenlinkedinURL;"
"stammdatenindustrie;linkedin_url_status;str;Status LinkedIn URL;"
"stammdatenindustrie;benutzername;str;Benutzername;"
"stammdatenindustrie;iban;str;IBAN;"
"stammdatenindustrie;bic;str;BIC;"
"stammdatenindustrie;datum;datetime;Datum Datensatzanlage;"
"stammdatenindustrie;schliessung;datetime;Datum Schliessung;"
"stammdatenindustrie;gruendung;float;Grόndungsjahr;"
"stammdatenindustrie;kooperation;str;Kooperation;"
"stammdatenindustrie;gruppe;str;Gruppe;"
"stammdatenindustrie;filiale;str;Wenn nicht identisch mit Kundennumm;"
"stammdatenindustrie;firmentyp;str;Konzern, Familie;"
"stammdatenindustrie;groessenklasse;str;standardisierte Grφίenklasse;"
"stammdatenindustrie;umsatzklasse;str;Umsatzklasse;"
"stammdatenindustrie;mitarbeiterzahl;str;Mitarbeiterzahl;"
"stammdatenindustrie;anzahlabda;float;Anzahl aller bei der Abda gelisteten Artikel;"
"stammdatenindustrie;anzahlrx;float;Anzahl aller bei der Abda gelisteten RX Artikel;"
"stammdatenindustrie;anzahlnonrx;float;Anzahl aller bei der Abda gelisteten NonRX Artikel;"
"stammdatenindustrie;umsatzpotenzialmio;float;Umsatzpotenzial in Millionen;"
"stammdatenindustrie;wws;str;Warenwirtschaftssystem;"
"stammdatenindustrie;gl_produkt1;str;Wichtigste Produkte 1;"
"stammdatenindustrie;gl_produkt2;str;Wichtigste Produkte 2;"
"stammdatenindustrie;gl_produkt3;str;Wichtigste Produkte 3;"
"stammdatenindustrie;topprodukte;str;Zusammenfassung des Angebots, oft mit Markennennung;"
"stammdatenindustrie;APlicht;str;Sortiment apothekenpflichtig?;"
"stammdatenindustrie;sortiment;str;Sortimentsschwerpunkt;"
"stammdatenindustrie;sortimentsstruktur;str;Anzahl Produkte nach Sortimentsanteilen;"
"stammdatenindustrie;markenstruktur;str;Anzahl Produkte nach Markenanteilen (z. B. Aspirin);"
"stammdatenindustrie;hauptgruppe;str;In welchem Sortimentsteil ist Firma hauptsδchlich tδtig;"
"stammdatenindustrie;ugruppe;str;In welchem Untergruppe ist Firma hauptsδchlich tδtig;"
"stammdatenindustrie;zugehoerigkeit;str;In welchen Sortimentsbereichen ist die Firma prδsent;"
"stammdatenindustrie;narrativ;str;Narrativ der Firma;"
"stammdatenindustrie;purpose;str;Was ist der Daseinszweck;"
"stammdatenindustrie;begruendung;str;Begrόndung Marktposition;"
"stammdatenindustrie;trigger_events;str;Plδne, Verδnderungen, Entwicklungen;"
"stammdatenindustrie;entscheider;str;Personen im Unternehmen ohne Bezug zu crm_personen;"
"stammdatenindustrie;ambition;str;Was will die Firma erreichen;"
"stammdatenindustrie;zielsetzung;str;mittelfristige Zielsetzung;"
"stammdatenindustrie;unsub;bool;Abgemeldet;"
"stammdatenindustrie;aktuelle_haupt_url;str;Haupt URL;"
"stammdatenindustrie;veredelung_status;str;Status Veredelung;"
"stammdatenindustrie;veredelung_methode;str;Methode Veredelung;"
"stammdatenindustrie;veredelung_score;str;Score Veredelung;"
"stammdatenindustrie;d2p_score;str;D2P Score;"
"stammdatenindustrie;d2p_begruendung;str;Begrόndung D2P;"
"stammdatenindustrie;gefundene_personen;str;Gefundene Personen;"
"stammdatenindustrie;top_produkte;str;Top Produkte;"
"stammdatenindustrie;apotheken_fokus;str;Apotheken Fokus (meist leer ? stattdessen Marktzielgruppe/emarktzielgruppe);"
"stammdatenindustrie;funktion_pruefung;str;Prόfung Funktion;"
"stammdatenindustrie;marktzielgruppe_pruefung;str;Prόfung Marktzielgruppe;"
"stammdatenindustrie;kategorie_pruefung;str;Prόfung Kategorie;"
"stammdatenindustrie;gl_email;str;GL Email;"
"stammdatenindustrie;gl_fax;str;GL Fax;"
"stammdatenindustrie;gl_firma;str;GL Firma;"
"stammdatenindustrie;gl_hausnr;str;GL Hausnummer;"
"stammdatenindustrie;gl_kundennumm;str;GL Kundennummer;"
"stammdatenindustrie;gl_lnderkennzeichen;str;GL Lδnderkennzeichen;"
"stammdatenindustrie;gl_ort;str;GL Ort;"
"stammdatenindustrie;gl_plz;str;GL PLZ;"
"stammdatenindustrie;gl_plz_ort;str;GL PLZ und Ort;"
"stammdatenindustrie;gl_strasse;str;GL Straίe;"
"stammdatenindustrie;gl_telefon;str;GL Telefon;"
"stammdatenindustrie;gl_web;str;GL Web;"
"stammdatenindustrie;linkedin_url;str;LinkedIn URL;"
"stammdatenindustrie;linkedin_url_quelle;str;Quelle LinkedIn URL;"
"stammdatenindustrie;linkedin_url_geprueft_am;datetime;Prόfdatum LinkedIn URL;"
"stammdatenindustrie;linkedin_url_notiz;str;Notiz LinkedIn;"
"stammdatenindustrie;apollo_search_status;str;Status Apollo;"
"stammdatenindustrie;apollo_search_lauf_id;str;Lauf ID Apollo;"
"stammdatenindustrie;apollo_search_geplant_am;datetime;Geplant Apollo;"
"stammdatenindustrie;apollo_search_ausgefuehrt_am;datetime;Ausgefόhrt Apollo;"
"stammdatenindustrie;apollo_search_treffer;int;Treffer Apollo;"
"stammdatenindustrie;apollo_search_domain;str;Domain Apollo;"
"stammdatenindustrie;apollo_search_fehler;str;Fehler Apollo;"
"Whitelist_Kontakte;ID;int;ID;"
"Whitelist_Kontakte;indkundennumm;str;kundennummer Stammdatenindustrie;stammdatenindustrie.kundennumm"
"Whitelist_Kontakte;apokundennumm;str;kundennummer Stammdatenapo;stammdatenapo.kundennumm"
"Whitelist_Kontakte;indpersonid;str;personid;crm_personen.personid"
"Whitelist_Kontakte;apopersonid;str;personid;"
"Whitelist_Kontakte;Vorname;str;Vorname;"
"Whitelist_Kontakte;Nachname;str;Nachname;"
"Whitelist_Kontakte;Email_Gesch;str;Email Geschδftlich;"
"Whitelist_Kontakte;Email_Priv;str;Email Privat;"
"Whitelist_Kontakte;Tel_Gesch;str;Telefon Geschδftlich;"
"Whitelist_Kontakte;Tel_Mobil;str;Telefon Mobil;"
"Whitelist_Kontakte;Anrede;str;Anrede;"
"Whitelist_Kontakte;Ansprache;str;du/Sie;"
"Whitelist_Kontakte;Firma_Projekt;str;Anknόpfungspunkt;"
"Whitelist_Kontakte;Position;str;Position;"
"Whitelist_Kontakte;Prioritaet;str;Prioritδt;"
"Whitelist_Kontakte;LinkedIn_URL;str;linkedinURL;"
"Whitelist_Kontakte;Standard_CC;str;Standard CC;"
"Datei_Index;Datei_ID;int;Datei ID;"
"Datei_Index;Anbieter_ID;str;Anbieter ID;stammdatenindustrie.ID"
"Datei_Index;Kundennummer_Ref;str;Kundennummer Ref;stammdatenapo.kundennumm"
